,VIDEO DATA,,,,,,,,,,,ADMIN PANEL,,,NEWS CHARACTERISTICS,,RHETORIC and NARRATIVE,,VISUALS,,,SIDE NOTES,CREATORS,OPTIONAL,NOTES
EVENT,create_time,like_count,share_count,username,video_description,view_count,comment_count,hashtag_names,voice_to_text,spread_guess,URL,Is this video available to be viewed?,Related to event of interest?,Collective Agreement to Code,News Type,Primary contemporary news value,Rhetorical Mode,Content Focus,Visual Source Material,Visual Structure,Function of Text Overlays,Does the video contain any non-news digressions or asides?,Creator Persona,Does it appear that the creator is engaged in authentic sensemaking and/or citizen journalist activities?,Use this space to make notes
ohio,2/19/2023 0:24:00,10,0,justinchapman74,train derailment season #train #Ohio #spy #balloon #funny #dumb,6,1,"['train', 'funny', 'dumb', 'ohio', 'balloon', 'spy']",,,https://tiktok.com/@justinchapman74/video/7201656305386278190,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Broader Implications,,,N/A - no text overlay,NO,,,
ohio,2/21/2023 0:02:00,8,0,chronicallyrara,#duet with @musclesandnursing #ohio #eastpalistine #eastpalestineohio #trainderailed #norfolksouthern #chronicallyrara,55,0,"['ohio', 'duet', 'norfolksouthern', 'eastpalistine', 'trainderailed', 'chronicallyrara', 'eastpalestineohio']",,duet,https://tiktok.com/@chronicallyrara/video/7202392677269392686,NO - Do not code further,,TOSS,,,,,,,,,,,
ohio,2/21/2023 2:15:00,77,0,the.great.hozzr,Ive been seeing these things for 6 months. I even saw them 2 hrs away. They come almost every night. This is freaking me out 😧 #crabtreecompound101 #ufo #fthegovernment #fyp #werefd2023 #wereintrouble #imnotready #comeonman #ohiochemicalspill #mmmmkayboys #governourselves #usgovtsucks #government,8,51,"['ufo', 'imnotready', 'fyp', 'government', 'comeonman', 'wereintrouble', 'fthegovernment', 'governourselves', 'crabtreecompound101', 'usgovtsucks', 'ohiochemicalspill', 'mmmmkayboys', 'werefd2023']",,,https://tiktok.com/@the.great.hozzr/video/7202427000747855147,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/19/2023 17:17:00,4,0,crystalcrusher1,#duet with @surfgl #help #care #theyfucked #acidrain #train #ohio,11,0,"['train', 'ohio', 'help', 'care', 'duet', 'acidrain', 'theyfucked']",,duet,https://tiktok.com/@crystalcrusher1/video/7201917195440475434,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,multiple: more than one of the above functions,NO,,,
ohio,2/21/2023 16:27:00,3,0,ssbullycollections,🏎️TURBO💨 #fast #fastandfurious #TheRealPussinBoots #pup #puppy #puppylove #puppies #puppiesoftiktok #puppydog #bully #bullyxl #bullylife #bullylove #bullypuppy #dogs #pet #home #tiktok #viral #roblox #torylanez #megantheestallion #viralvideo #viraltiktok #ig #popular #body #head #ob #foryou #diy #guru #doggy #dog #on #omg #cute #overload #greenscreen #goviral #life #lifehack #trending #bullymagazine #dogsoftiktok #doggies #dogsoftiktokviral #dogoftheday #dogsofinstagram #kerala #photography #picoftheday #reels #reel #viralreels #hot #babymomma #babydaddy #designer #brands #famous #gucci #prada #lv #ysl #vlone #offwhite #trending #trendingreels #2023 #usa #ohio #luxury #turbo #tax #taxes #RnB #chemicals #train #joy #fun,3,0,"['train', 'fun', 'gucci', 'omg', 'doggy', 'fastandfurious', 'cute', 'life', 'on', 'popular', 'puppy', 'home', 'dogs', 'dog', 'hot', 'joy', 'puppylove', 'ohio', 'pet', 'famous', 'fast', 'rnb', 'usa', 'body', 'puppies', 'picoftheday', 'babydaddy', 'luxury', 'pup', 'doggies', 'torylanez', 'guru', 'diy', 'ysl', 'trending', 'viral', 'tiktok', 'ig', 'bully', 'designer', 'photography', 'foryou', 'babymomma', 'turbo', 'head', 'overload', 'viralvideo', 'prada', 'lv', 'ob', 'goviral', 'chemicals', 'roblox', 'taxes', 'puppydog', 'reel', 'lifehack', 'tax', 'dogsofinstagram', 'greenscreen', 'brands', 'kerala', 'bullylove', 'reels', 'bullylife', 'dogoftheday', 'vlone', 'offwhite', 'bullyxl', 'megantheestallion', '2023', 'bullypuppy', 'bullymagazine', 'dogsoftiktok', 'viraltiktok', 'puppiesoftiktok', 'viralreels', 'trendingreels', 'TheRealPussinBoots', 'dogsoftiktokviral']",,,https://tiktok.com/@ssbullycollections/video/7202646590035660074,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/19/2023 19:02:00,40,2,ashleyshearn333,#greenscreen #greenscreen#greenscreenvideo same exact place days apart! #ohio #chemical #trainderailed #river #government,569,3,"['river', 'ohio', 'chemical', 'government', 'greenscreen', 'greenscreenvideo', 'trainderailed']",,,https://tiktok.com/@ashleyshearn333/video/7201944435825954091,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,2/20/2023 4:26:00,123,0,thefrontutos,#duet with @blakereynolds270 #train #ohio #fema #trump #fyp,10,16,"['train', 'ohio', 'duet', 'trump', 'fema', 'fyp']",,duet,https://tiktok.com/@thefrontutos/video/7202089619037588782,YES - Continue coding,YES - Continue coding,KEEP,News Analysis - Provides context for people to understand the news,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,N/A - no text overlay,NO,,,
ohio,2/20/2023 20:53:00,8,0,knrlegal,Partner Michael Maillis states why local attorneys could be the better option for residents of East Palestine. #trainderailment #eastpalestinedisaster #eastpalestineohio #eastpalestinetraincrash #trainderailed #eastpalestine #fypage #ohio #knrcares #askanattorney #localattorneys,8,1,"['ohio', 'eastpalestine', 'fypage', 'trainderailment', 'trainderailed', 'askanattorney', 'eastpalestineohio', 'knrcares', 'localattorneys', 'eastpalestinetraincrash', 'eastpalestinedisaster']",,,https://tiktok.com/@knrlegal/video/7202344147460689195,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Response,,,N/A - no text overlay,NO,,,
ohio,2/21/2023 14:05:00,25624,941,diamondtheekidd,#greenscreenvideo #eastpalestine #trainderailed #ohio #ohiofyp #ohiocheck #chemicalspill #eastpalestineohio #chemicalfire #accountability #explorepage #relatable #🇺🇸 #america Share and save this video to help spread the word !! Americans have a right to know what’s going on ❤️🇺🇸🦅 stay safe out there!,45129,4970,"['relatable', 'ohio', 'america', 'explorepage', 'eastpalestine', 'accountability', 'chemicalfire', 'chemicalspill', 'greenscreenvideo', '🇺🇸', 'ohiocheck', 'ohiofyp', 'trainderailed', 'eastpalestineohio']",,,https://tiktok.com/@diamondtheekidd/video/7202610081219923246,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,2/22/2023 16:11:00,23,0,stantonsjourneys,#ohio #ohiocheck #thejourney #neverstopexploring #explore #explorer #youtuber #youtube #rustbelt #train #railroad #norfolksouthern #explorepage  #exploration #goexploremore #exploremoretoday #explorepage✨  #explorer #abandonedplaces #abandoned #railfansoftiktok #genxtiktokers #whatsthis #rusty #rustygold #graffitiforyou,23,7,"['train', 'youtube', 'ohio', 'youtuber', 'whatsthis', 'explore', 'abandoned', 'rusty', 'railroad', 'explorer', 'thejourney', 'NeverStopExploring', 'explorepage', 'exploration', 'norfolksouthern', 'abandonedplaces', 'rustbelt', 'rustygold', 'ohiocheck', 'railfansoftiktok', 'genxtiktokers', 'explorepage✨', 'exploremoretoday', 'graffitiforyou', 'goexploremore']",,,https://tiktok.com/@stantonsjourneys/video/7203013587323964714,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/21/2023 19:12:00,64,0,worldwatchnews,Taylor provides an update on the train derailment in Ohio and how the Ohio Health Department is taking action. #Train #Derailment #Ohio #EastPalestine #Health #TaylorTalks #News #Newschannel #ChristianTikTok #FYP #foryoupage,7,4,"['train', 'ohio', 'health', 'news', 'fyp', 'newschannel', 'eastpalestine', 'taylortalks', 'derailment', 'foryoupage', 'christiantiktok']",,,https://tiktok.com/@worldwatchnews/video/7202689188821486891,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
ohio,2/21/2023 20:24:00,5345,2,nowthis,"Ohio Gov. Mike DeWine, OH Rep. Bill Johnson, and U.S. EPA Administrator Michael Regan visited East Palestine residents and drank their tap water, which came from municipal water sources, in an effort to provide them some peace of mind #news #politics #EPA #ohio #eastpalestine #train #toxic #chemicals #pollution",7960,284,"['train', 'toxic', 'ohio', 'politics', 'news', 'chemicals', 'epa', 'pollution', 'eastpalestine']",,,https://tiktok.com/@nowthis/video/7202707663917026602,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,multiple: more than one of the above functions,NO,,,
ohio,2/22/2023 6:08:00,1,0,mystical_alien81,#41 #alienstory #truestories #energy #fun #spiritual leave your worries behind you they say then these chemical spilled trains  come along andcm toss my happiness off so deeply. pray for Ohio victims to the train tragedy! in Ohio!. I'm praying for people of #EastpatelestineOhio #Ohio $Ohio #train #government #lies #fbi #news,5,0,"['train', 'fun', 'ohio', 'lies', 'energy', 'truestories', 'news', 'spiritual', 'fbi', 'government', '41', 'alienstory', 'eastpatelestineohio']",,,https://tiktok.com/@mystical_alien81/video/7202858045783690539,YES - Continue coding,Maybe - Let's talk about it,KEEP,Other - None of the above,timeliness,N/A or Other,Human/Human-Health Impact,,,N/A - no text overlay,NO,,,
ohio,2/23/2023 2:41:00,12,0,poopydiaperfulloffacts,#trump #magahat #donaldtrump #ohiotrain #fyp #eastpalestine #trainderailed #ohio #maga,32,2,"['ohio', 'donaldtrump', 'trump', 'fyp', 'maga', 'eastpalestine', 'magahat', 'trainderailed', 'ohiotrain']",,,https://tiktok.com/@poopydiaperfulloffacts/video/7203175855802273070,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/23/2023 12:12:00,200,0,the_hungry_guido,To much shlt has been happening on Airplanes Recently. Don’t have a good feeling about it #Train #News #BreakingNews #NewReporter #Reporter #Reporting #Breaking #TiktokNews #War #Ukraine #Russia #America #USA #China #Trains #Cnn #FoxNews #Fox #Cbs #Abc #Msn #Opinion #opinions #Advice #Headup #Info #Besafe #Safe #Military #NewYork #Brooklyn #StatenIsland #NewYorkCity #Queens #Bronx #LongIsland #houston #Ohio #SouthCarolina #NorthCarolina #California #Boston #SouthJersey #NewJersey #Jersey #JerseyShore #Shore #Philadelphia #Philly #phillytiktok #Virginia #Maryland #Washington #Florida #F #fy #fyp #fypシ #fypシ゚viral #fypp #fyppppppppppppppppppppppp #goviral #goviralgo #virall #viral #viralvideo #viraltiktok #viral_video #viralvideos #tiktok #tiktoker #comment #share #like #follow #nj #nyc #nyclife #nycsubway #Italian #Italians #Italiano #German #Irish #Airplane #Plane,32,95,"['train', 'florida', 'war', 'share', 'like', 'california', 'newyork', 'breaking', 'china', 'follow', 'nyc', 'brooklyn', 'military', 'comment', 'ohio', 'airplane', 'america', 'usa', 'newyorkcity', 'f', 'german', 'boston', 'russia', 'queens', 'statenisland', 'philadelphia', 'plane', 'philly', 'houston', 'washington', 'viral', 'tiktok', 'ABC', 'longisland', 'jersey', 'nj', 'breakingnews', 'safe', 'fox', 'italian', 'southcarolina', 'virginia', 'newjersey', 'besafe', 'northcarolina', 'trains', 'jerseyshore', 'news', 'irish', 'viralvideo', 'opinion', 'headup', 'shore', 'cbs', 'opinions', 'maryland', 'advice', 'goviral', 'fy', 'fyp', 'reporter', 'nycsubway', 'cnn', 'reporting', 'nyclife', 'italiano', 'italians', 'ukraine', 'info', 'msn', 'foxnews', 'viralvideos', 'virall', 'southjersey', 'goviralgo', 'newreporter', 'tiktoker', 'viral_video', 'tiktoknews', 'viraltiktok', 'fypp', 'bronx', 'fypシ', 'fyppppppppppppppppppppppp', 'phillytiktok', 'fypシ゚viral']",,,https://tiktok.com/@the_hungry_guido/video/7203323069471968554,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/22/2023 13:59:00,92,0,inezsheart,#2023 #trainderailed #ohio #aliens #spyballoon #craziness,221,5,"['aliens', 'ohio', 'craziness', '2023', 'trainderailed', 'spyballoon']",,,https://tiktok.com/@georgia_peach69/video/7205002757034544426,YES - Continue coding,YES - Continue coding,KEEP,News Analysis - Provides context for people to understand the news,timeliness,"Narration: Telling a story or sequence of events, in chronological order",Event-in-Review,,,N/A - no text overlay,NO,,,
ohio,2/22/2023 21:31:00,29,0,chesalaann381,#duet with @hfish88 #followthemoney #railcar #purpose #whatsgoingon #trainderailed #ohio,12,2,"['ohio', 'duet', 'whatsgoingon', 'purpose', 'followthemoney', 'railcar', 'trainderailed']",,duet,https://tiktok.com/@chesalaann381/video/7203096136851262762,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
ohio,2/24/2023 0:02:00,1301,0,purpl3s_r3ign,#AXERatioChallenge #balloon #chin #derailedtrain #chemicalwarfare #depopulationagena #train #ohio #ohiocheck #onelove #fypシ #trending #thursdayvibes #curiosity #agentorange #dioxazine #mustardgas #fema #concentrationcamp #naziawareness #truthseeker #uncomfortableconversations #unexplained #coverup #planecrashes #planecrash #programming #cult #unitedculture #conspiracytiktok #latina #latino #latinosbelike #firstgenlatinadaughters #biracialbaby #peruviantiktoker #peruana #tica #tica #costarica #godisgoodallthetime #godlovesyou #amen #loveforallhumans #exceptpedophyles  #godsarmy,41,24,"['train', 'amen', 'ohio', 'balloon', 'costarica', 'onelove', 'trending', 'latina', 'latino', 'fema', 'thursdayvibes', 'godlovesyou', 'chin', 'coverup', 'agentorange', 'latinosbelike', 'peruana', 'godsarmy', 'planecrash', 'tica', 'curiosity', 'unexplained', 'cult', 'godisgoodallthetime', 'programming', 'mustardgas', 'truthseeker', 'chemicalwarfare', 'planecrashes', 'concentrationcamp', 'biracialbaby', 'derailedtrain', 'peruviantiktoker', 'ohiocheck', 'fypシ', 'uncomfortableconversations', 'unitedculture', 'conspiracytiktok', 'loveforallhumans', 'exceptpedophyles', 'depopulationagena', 'dioxazine', 'naziawareness', 'firstgenlatinadaughters', 'AXERatioChallenge']",,,https://tiktok.com/@purpl3s_r3ign/video/7203505927901695275,NO - Do not code further,,TOSS,,,,,,,,,,,
ohio,2/23/2023 0:01:00,232,2,infamousfire44,Biden has been in office for 3 years.  #greenscreen #fyp #foryoupage #ohio #train #viral #politics #conservative #republican #letsgobrandon,525,74,"['train', 'ohio', 'viral', 'politics', 'fyp', 'greenscreen', 'republican', 'conservative', 'letsgobrandon', 'foryoupage']",,,https://tiktok.com/@infamousfire44/video/7203134652960361771,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,human interest,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Response,,,N/A - no text overlay,NO,,,
ohio,2/23/2023 1:28:00,169,0,philly123456789101112,#eastpalestineohio #ohio #eastpalestine #trainderailed #trainderailment #chemicalfire,121,25,"['ohio', 'eastpalestine', 'chemicalfire', 'trainderailment', 'trainderailed', 'eastpalestineohio']",,,https://tiktok.com/@philly123456789101112/video/7203157144680549678,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,N/A - no text overlay,NO,,,
ohio,2/25/2023 1:23:00,9,0,metaverse2066,#metaverse2066  #americanmade  #conspiracytiktok  #eastpalestineohio  #ohiochemicalspill  #ohiochem  #NextLevelDish  #oakwoodvillage  #bedfordohio  #usa #trending,6,3,"['usa', 'trending', 'americanmade', 'oakwoodvillage', 'conspiracytiktok', 'bedfordohio', 'eastpalestineohio', 'metaverse2066', 'NextLevelDish', 'ohiochemicalspill', 'ohiochem']",,,https://tiktok.com/@metaverse2066/video/7203897965684247854,NO - Do not code further,,TOSS,,,,,,,,,,,
ohio,2/23/2023 22:45:00,199,0,alcatraz4308,#trainderailed #awareness #newsworthy #educateyourself #palestine #ohio #houston #foreveryone,44,48,"['ohio', 'houston', 'awareness', 'foreveryone', 'palestine', 'educateyourself', 'newsworthy', 'trainderailed']",,,https://tiktok.com/@alcatraz4308/video/7203486124541529387,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Broader Implications,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,2/24/2023 18:17:00,828,0,thescottandrewreport,Trump Gets FEMA to Act #ohio #statesrights #trump #donaldtrump #train #conservative #liberal #news #politics #republican #democrat #gop #progressive #maga #leftist,31,175,"['train', 'ohio', 'donaldtrump', 'trump', 'politics', 'news', 'progressive', 'maga', 'liberal', 'democrat', 'gop', 'leftist', 'republican', 'conservative', 'statesrights']",,,https://tiktok.com/@thescottandrewreport/video/7203788227684175146,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,2/24/2023 19:11:00,13,0,conspiracy_matrixwakeup,#greenscreen Are You Awake yet? The Illuminatie Goverment Agenda is real☠😱🔗👁 #foryou #foryoupage #fyp #illuminati #simulation #netflix #whitenoise #train #trainwreck #ohio #matrix #matrixglitch #ohiotraincrash #dangerous #danger #chemicals #toxic #deadly #deadlywreck #fypシ #fy #govermentsecrets #govermentconspiracy  #conspiracy #tiktok #tiktokconspiracy  #lifeisalie #wakeup #openyoureyes #openyourmind,29,5,"['train', 'toxic', 'ohio', 'wakeup', 'dangerous', 'tiktok', 'danger', 'netflix', 'foryou', 'matrix', 'illuminati', 'deadly', 'openyoureyes', 'whitenoise', 'conspiracy', 'fy', 'chemicals', 'trainwreck', 'fyp', 'openyourmind', 'greenscreen', 'simulation', 'lifeisalie', 'matrixglitch', 'foryoupage', 'tiktokconspiracy', 'govermentsecrets', 'fypシ', 'govermentconspiracy', 'deadlywreck', 'ohiotraincrash']",,,https://tiktok.com/@conspiracy_matrixwakeup/video/7203801999224147246,YES - Continue coding,YES - Continue coding,KEEP,News Analysis - Provides context for people to understand the news,timeliness,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,"topic text: sets some brief context, usually only a few words",YES,,,
ohio,2/27/2023 14:57:00,7,0,osculant_brutality,"🤘🏼OBSCURE METAL MONDAYS🤘🏽 This week’s Obscure Metal Mondays feature is a shameless plug! Since we just dropped our new single on Friday, I’m gonna feature us - Osculant Brutality - on this week’s OMM! “Mutually Assured Annihilation” is the first single off our upcoming album, Lessons From the Death Rattle of a Failed Species.  Recently, atomic scientists set the Doomsday Clock to just 90 seconds to midnight, the closest it’s ever been set. Disease, rampant pollution, climate issues, social unrest, and threats of nuclear and/or biological attacks have pushed humanity to the brink of annihilation. “Mutually Assured Annihilation” covers several of these issues. Osculant Brutality currently has ~450 monthly Spotify listeners.  BAND: Osculant Brutality @osculantbrutality FEATURED SONG: Mutually Assured Annihilation ALBUM: Lessons from the Death Rattle of a Failed Species (Release date TBD) GENRE: Death/Thrash FROM: US/Italy SPOTIFY: https://open.spotify.com/artist/6O6DBzfIU7d5GMivLY7tbM?si=HQsEz_NOS82zj7TRp3C8bA #metaltok #metaltiktok #metaltiktok🤘#metal #metaltiktoker #metaltoker #heavymetal #heavymetalmusic #metalhead #metalheadsoftiktok #headbanger #headbangers #deathmetal #deathmetalmusic #thrash #thrashmetal #spotify #music #metalfamily #heavymetalfamily #obscuremetalmondays #followus #songrecommendations #bandrecommendations ##ohio #derailedtrain #trainderailment #eastpalestine #traincrash #vinylchloride #ohiotrainwreck #ohiochemicalspill #palestineohio #eastpalestineohio #ohiotraincrash #climatechange #ecologicaldisaster #universalhealthcare #war #ww3 #pollution #pollutionawareness",14,0,"['war', 'music', 'ohio', 'metal', 'metalhead', 'deathmetal', 'heavymetal', 'thrash', 'followus', 'headbanger', 'headbangers', 'heavymetalmusic', 'spotify', 'pollution', 'thrashmetal', 'ww3', 'climatechange', 'metalfamily', 'eastpalestine', 'songrecommendations', 'traincrash', 'pollutionawareness', 'universalhealthcare', 'metaltiktok', 'derailedtrain', 'metaltiktoker', 'metaltok', 'trainderailment', 'metalheadsoftiktok', 'deathmetalmusic', 'heavymetalfamily', 'bandrecommendations', 'ecologicaldisaster', 'eastpalestineohio', 'metaltoker', 'metaltiktok🤘', 'palestineohio', 'ohiotraincrash', 'obscuremetalmondays', 'ohiotrainwreck', 'vinylchloride', 'ohiochemicalspill']",,,https://tiktok.com/@osculant_brutality/video/7204849924540845358,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/28/2023 0:50:00,1739,5,georgia_peach69,Satire except they actually tried to pull this 💩 #ohio #ohiochemicalspill #trainderailment #eastpalestine #eastpalestineohio #eastpalestinetraincrash #conspiracy #conspiracytiktok #ohiotrain #america,1104,149,"['ohio', 'america', 'conspiracy', 'eastpalestine', 'trainderailment', 'conspiracytiktok', 'ohiotrain', 'eastpalestineohio', 'eastpalestinetraincrash', 'ohiochemicalspill']",,,https://tiktok.com/@facesintherain/video/7207612105795587374,NO - Do not code further,,TOSS,,,,,,,,,,,
ohio,2/25/2023 7:07:00,177,0,aurelubxhjp,#ohio #eastpalestine #eastpalestineohio #trainderailed #epa #tetratech #northfolksouthern #contamination #invirement,47,32,"['ohio', 'epa', 'contamination', 'eastpalestine', 'invirement', 'northfolksouthern', 'trainderailed', 'tetratech', 'eastpalestineohio']",,,https://tiktok.com/@aurelubxhjp/video/7203986416274246958,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,conflict and controversy,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Recovery,,,N/A - no text overlay,YES,,,
ohio,2/28/2023 18:25:00,2329,64,datboi16539,Memes for the emperor!!! #itiswhatitis #meme #warhammer40k #starwars #paint #balloon #ohio #train #garlik #hogwarts,9132,19,"['train', 'hogwarts', 'starwars', 'paint', 'ohio', 'balloon', 'meme', 'itiswhatitis', 'warhammer40k', 'garlik']",,,https://tiktok.com/@datboi16539/video/7205274596935765290,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,3/1/2023 20:45:00,17,0,thehumanarchive,We are eating fake lettuce wtf!#food #usa #usagoverment #restraunt #fastfood #grocery #groceryshopping #russia #russiawar #ukraine🇺🇦 #ukrainewar #ww3 #china #news #nbc #joerogan #trending #trendingsong #viral #foryou #tiktokchallenge #2023 #fakefood #fakefoodvsrealfood #poison #poisongas #train #ohio #antartica #military #cancer #xbox #ps5 ##lies##illuminati##worldleaders##aliens##ufo##ufoキャッチャー##putin##joebidden,16,12,"['train', 'food', 'china', 'aliens', 'military', 'ohio', 'poison', 'usa', 'lies', 'russia', 'trending', 'viral', 'xbox', 'cancer', 'foryou', 'illuminati', 'fastfood', 'grocery', 'news', 'joerogan', 'ufo', 'groceryshopping', 'restraunt', 'tiktokchallenge', 'trendingsong', 'nbc', 'putin', 'ps5', 'ww3', 'fakefood', 'antartica', 'poisongas', 'ufoキャッチャー', '2023', 'joebidden', 'ukraine🇺🇦', 'worldleaders', 'russiawar', 'ukrainewar', 'usagoverment', 'fakefoodvsrealfood']",,,https://tiktok.com/@thehumanarchive/video/7205681655930096942,YES - Continue coding,NO - Do not continue coding,TOSS,,,,,,,,,,,
ohio,2/26/2023 2:17:00,150,0,cynthia.burton,#representwithintegrty💕 #mentalhealthmatters #breatheinbetterdays😊 #weneedhelp🤦‍♀️ #ohiotrainderailment #integrityalwayswins #senatordougmastriano #fypシ゚viral,11,34,"['mentalhealthmatters', 'fypシ゚viral', 'senatordougmastriano', 'weneedhelp🤦\u200d♀️', 'breatheinbetterdays😊', 'integrityalwayswins', 'ohiotrainderailment', 'representwithintegrty💕']",,,https://tiktok.com/@cynthia.burton/video/7204282898172677418,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Human/Human-Health Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,2/26/2023 14:57:00,6,0,aw4ken1_,First official report on Ohio derailment #eastpalestine #ohio #aw4ken1 #wakeup #fyp #fypシ #nwo #blackrock #fjb #trainderailed #getready,35,1,"['ohio', 'wakeup', 'getready', 'nwo', 'fyp', 'blackrock', 'fjb', 'eastpalestine', 'fypシ', 'trainderailed', 'aw4ken1']",,,https://tiktok.com/@aw4ken1_/video/7204478828532616491,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,human interest,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,N/A - no text overlay,NO,,,
ohio,2/28/2023 14:50:00,323,0,whatishappeninginohio,Absolutely an insane time to be alive. #eastpalestine #traindereailment #ohio#ohiotraincrash #palestine #train,93,67,"['train', 'ohio', 'palestine', 'eastpalestine', 'ohiotraincrash', 'traindereailment']",,,https://tiktok.com/@whatishappeninginohio/video/7205219107854355758,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
ohio,3/2/2023 18:17:00,85,0,tiktok_lifecoach,#EPA #trainderailed #aftermath #ohio #transparency #freedom #fyp #viral,54,10,"['freedom', 'ohio', 'viral', 'aftermath', 'fyp', 'epa', 'transparency', 'trainderailed']",,,https://tiktok.com/@tiktok_lifecoach/video/7206014631817612586,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",YES,,,
ohio,3/3/2023 14:30:00,3,0,tammy.martina,#chemicalspills #ohio #ohiochemicalspill #trainderailed @snnsnxnsjkwjwb,23,0,"['ohio', 'trainderailed', 'chemicalspills', 'ohiochemicalspill']",,,https://tiktok.com/@tammy.martina/video/7206327233789709611,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
