,VIDEO DATA,,,,,,,,,,,ADMIN PANEL,,,NEWS CHARACTERISTICS,,RHETORIC and NARRATIVE,,VISUALS,,,SIDE NOTES,CREATORS,OPTIONAL,NOTES
EVENT,create_time,like_count,share_count,username,video_description,view_count,comment_count,hashtag_names,voice_to_text,spread_guess,URL,Is this video available to be viewed?,Related to event of interest?,Collective Agreement to Code,News Type,Primary contemporary news value,Rhetorical Mode,Content Focus,Visual Source Material,Visual Structure,Function of Text Overlays,Does the video contain any non-news digressions or asides?,Creator Persona,Does it appear that the creator is engaged in authentic sensemaking and/or citizen journalist activities?,Use this space to make notes
maui,8/10/2023 19:14:00,11,0,xtremecowgirl,many prayers for those affected... tragedy. #hawaii #wildfire #tragedy #lahaina,2,1,"['hawaii', 'wildfire', 'tragedy', 'lahaina']",,,https://tiktok.com/@xtremecowgirl/video/7265774190010174762,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/12/2023 4:40:00,532,6,mywildfireworld,#maui #lahainahawaii #Lahaina #fire #firefighters #wildland #aerial #fyp #wildfire #firefighting,5384,0,"['fire', 'aerial', 'wildfire', 'maui', 'firefighting', 'fyp', 'lahaina', 'firefighters', 'wildland', 'lahainahawaii']",,,https://tiktok.com/@mywildfireworld/video/7266290980767272234,NO - Do not code further,,TOSS,,,,,,,,,,,
maui,8/10/2023 21:41:00,12,1,nrdc.org,The wildfires in Maui have the potential to be the worst natural disaster to hit Hawai'i since 1992.  The devastation has left thousands of residents displaced and the number of lives lost continues to rise.  We are keeping those affected in our thoughts and hope everyone remains safe from these catastrophic fires. #hawaii #maui #wildfire,46,1,"['hawaii', 'wildfire', 'maui']",,,https://tiktok.com/@nrdc.org/video/7265811929086610731,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,N/A - no text overlay,NO,,,
maui,8/11/2023 2:09:00,323,3,abc7newsbayarea,"Fast-moving wildfires ripped through the Hawaiian town of Lahaina, leaving behind a trail of destruction. Aerial video shows the smoldering island of Maui after wildfires burned structures and left 53 people dead. #hawaii #maui #hawaiifire #hawaiifires #hawaiiwildfire #mauifire #mauifires #mauiwildfire #lahaina #wildfire #wildfires #fire #fires #blaze #blazes #destruction #news #fyp #foryoupage #abc7news",2472,10,"['fire', 'hawaii', 'destruction', 'blaze', 'wildfire', 'news', 'maui', 'fires', 'fyp', 'lahaina', 'wildfires', 'blazes', 'abc7news', 'foryoupage', 'hawaiifire', 'mauifire', 'mauifires', 'hawaiiwildfire', 'mauiwildfire', 'hawaiifires']",,,https://tiktok.com/@abc7newsbayarea/video/7265881100411522350,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,timeliness,N/A or Other,Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/11/2023 7:03:00,43,0,on374cgr33n,#maui #lahainamaui #pleasehelp #donate #hawaiinewsnowsunrise #anythingdonate #wildfire #missinglovedones,22,1,"['pleasehelp', 'wildfire', 'maui', 'donate', 'lahainamaui', 'missinglovedones', 'hawaiinewsnowsunrise', 'anythingdonate']",,,https://tiktok.com/@on374cgr33n/video/7265956723083660590,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,timeliness,"Description: Painting a vivid picture with details, sensory impressions, characteristics",Physical Impact,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/11/2023 8:30:00,296,0,trgdyann,#CapCut I want to hear from the residents. 🌺 #hawaii #maui #wildfire #climate #climatechange #mahalo #island #home #travel,52,35,"['home', 'travel', 'hawaii', 'island', 'wildfire', 'maui', 'mahalo', 'climatechange', 'climate', 'capcut']",,,https://tiktok.com/@trgdyann/video/7265979280285338926,YES - Continue coding,YES - Continue coding,KEEP,Other - None of the above,conflict and controversy,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/11/2023 14:42:00,75,0,pameospersonalpicks,#oprah #maui #hawaii #wildfire #evacuees #help #volcano #foryoupage #foryou #fy #fyp #fypage #tiktok #viralvideos   #pameospersonalpicks #viral #trending #reels #reposting,63,5,"['help', 'hawaii', 'trending', 'viral', 'tiktok', 'reposting', 'foryou', 'wildfire', 'volcano', 'maui', 'oprah', 'fy', 'fyp', 'viralvideos', 'reels', 'evacuees', 'foryoupage', 'fypage', 'pameospersonalpicks']",,,https://tiktok.com/@pameospersonalpicks/video/7266075112762395946,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,impact and prominence,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Response,,,"topic text: sets some brief context, usually only a few words",NO,,,
maui,8/11/2023 18:07:00,1214,0,blanca_perdomo,"We all see how selfish, greedy and heartless these people are. Complaining about their vacation being “ruined” or still GOING to hawaii even after the wildfires in Maui. They have the audacity to think like @Clarkson who feels entitled to go to Hawaii even when locals are telling you not to. ##clarksonlawson##maui##mauiwildlife##nativehawaiians##mauiwildfire##hawaiitiktok##tourismisexploitation##colonizersbecolonizing##colonizersatitagain##ytsupremacy##vtpeoplebehavior##maui##mauihawaii##neocolonialism",66,171,"['maui', 'mauihawaii', 'neocolonialism', 'hawaiitiktok', 'nativehawaiians', 'colonizersatitagain', 'ytsupremacy', 'colonizersbecolonizing', 'clarksonlawson', 'mauiwildlife', 'mauiwildfire', 'tourismisexploitation', 'vtpeoplebehavior']",I just tell the truth. And telling the truth is crazy in a world full of lies.,,https://tiktok.com/@blanca_perdomo/video/7266127892734594347,YES - Continue coding,YES - Continue coding,KEEP,Opinion/Op-Ed/Editorial - Interpretation. Subjective and debatable.,conflict and controversy,Argumentation/Persuasion: Presenting a position or claim and providing evidence/reasoning,Broader Implications,,,descriptive text: sets more detailed context; as long as a paragraph,NO,,,
maui,8/11/2023 22:03:00,17,0,cbsnews,Evacuations and an assessment of the destruction on #Maui are ongoing after deadly #wildfires tore through the #Hawaiian island. Here's what we know so far about the ravaging blaze. #news #hawaii #wildfire,71,2,"['hawaii', 'hawaiian', 'wildfire', 'news', 'maui', 'wildfires']",,,https://tiktok.com/@cbsnews/video/7266188822583561514,YES - Continue coding,YES - Continue coding,KEEP,News/Facts - Reporting of factual information. Objective and not debatable.,impact and prominence,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,multiple: more than one of the above functions,NO,,,
maui,8/11/2023 22:34:00,242,0,abcgma3,"ABC News’ Becky Worley is in Maui, with the latest on the tragic fires ripping through the island.  #Maui #MauiHawaii #Fire #news",33,4,"['fire', 'news', 'maui', 'mauihawaii']","What's the latest? Now, right here on the ground, Mark of the word that comes to mind of how this community feels is shell shocked. I'm in Kula, which is an area on the slopes of the volcano Haleakala, and there were fires raging all through here for days as the fires in Lahaina raged as well. And they're really pockets of homes that have been burned out like this one. Lots of the ranch land burned, and many all over the island are dealing with the aftermath and also trying to find out where their loved ones are. We heard from one mom, Shelena Barrios, who told us she escaped from Lahaina with her husband and 2 small children. And they tried to get out in the car. The traffic was all blocked up. They ran. They ran to the ocean. They got down next to the harbor. They were looking for boogie boards they could put their 6 year old and their 8 year old on top of so that they could swim into the ocean to get away from the flames. And just then the wind shifted. They were able to run down the beach and get to safety. We want to show one special moment that you had with 2 people there on the ground in this home, a family. Earlier, I saw dad going through the rubble looking for his wife's wedding ring. Any luck with the ring? Yes. You found it? Both. Oh, can We see. But it's here. Wow. You can even see the engravings. Oh, not much, but it's. It says Andre, so it's mine. And it fits my finger. It's definitely mine. Thank you, guys. Hawaii strong.",,https://tiktok.com/@abcgma3/video/7266196808039271726,YES - Continue coding,YES - Continue coding,KEEP,News Analysis - Provides context for people to understand the news,impact and prominence,"Exposition: Explaining or Informing. Presenting facts and ideas, or seeking explanation",Physical Impact,,,closed captioning: closely follows audio narration's words,NO,,,
